20.000	-60.781
20.987	-51.060
22.019	-41.667
23.094	-31.029
24.211	-16.419
25.370	-3.045
26.623	0.000
27.982	-2.789
29.484	-6.631
31.160	-7.192
32.860	-9.652
34.664	-11.651
36.801	-10.092
38.747	-6.458
40.684	-6.397
42.845	-8.892
45.169	-9.035
47.396	-6.211
49.721	-7.148
52.462	-6.307
55.699	-7.780
58.625	-8.215
61.048	-10.474
63.588	-12.621
66.115	-12.422
68.565	-11.674
71.084	-11.547
73.717	-10.619
76.524	-9.059
79.631	-7.958
82.686	-8.516
85.864	-10.484
89.134	-11.205
92.018	-10.575
95.157	-14.255
98.226	-16.863
101.452	-7.388
104.725	-7.002
108.131	-9.260
111.953	-9.014
115.973	-8.637
119.667	-11.126
123.482	-13.445
127.706	-14.524
131.932	-12.630
136.378	-11.528
141.064	-11.499
145.826	-12.601
150.724	-13.158
155.930	-11.482
161.461	-12.720
168.392	-14.799
174.003	-16.416
180.308	-15.005
186.522	-16.715
193.672	-25.962
200.257	-26.873
206.951	-22.186
213.827	-17.724
220.774	-16.330
227.714	-15.918
234.979	-15.419
242.436	-14.723
249.512	-17.109
257.106	-18.493
264.725	-16.478
273.684	-18.573
281.824	-19.095
290.947	-20.098
301.547	-18.126
311.465	-18.356
320.844	-16.470
330.434	-14.166
342.045	-16.181
352.844	-16.227
363.369	-16.794
373.477	-16.734
385.473	-15.106
397.884	-15.615
408.947	-14.602
421.768	-15.673
435.060	-16.057
448.110	-15.479
461.777	-13.794
478.425	-12.525
494.750	-14.348
508.865	-14.790
526.766	-15.494
541.972	-16.539
557.786	-16.785
575.035	-17.444
592.987	-17.433
609.286	-16.743
626.647	-17.303
645.894	-17.334
663.203	-16.540
681.792	-15.638
702.777	-15.382
722.866	-15.546
745.245	-13.887
768.131	-11.148
793.347	-10.900
817.704	-12.671
844.441	-11.556
870.550	-11.913
900.867	-12.481
930.517	-14.301
958.708	-15.216
986.102	-16.437
1015.307	-15.974
1044.074	-16.994
1074.274	-16.059
1105.683	-16.587
1138.769	-17.310
1175.486	-17.698
1209.627	-16.653
1251.484	-15.451
1293.523	-14.820
1339.434	-14.062
1388.067	-13.561
1443.657	-13.028
1494.798	-13.079
1548.464	-13.054
1601.359	-12.908
1660.538	-12.247
1719.171	-12.686
1776.189	-12.216
1835.876	-13.633
1898.290	-13.129
1955.693	-13.516
2015.495	-14.711
2076.061	-13.967
2140.699	-13.503
2213.146	-14.272
2281.138	-13.839
2351.865	-13.767
2423.035	-14.192
2491.744	-14.861
2563.166	-15.010
2639.093	-15.463
2714.604	-15.373
2793.399	-15.429
2884.871	-15.493
2965.182	-15.673
3050.297	-15.775
3133.066	-15.894
3216.595	-16.223
3307.729	-15.837
3399.629	-15.930
3497.691	-16.203
3589.157	-16.077
3685.106	-16.499
3786.700	-16.950
3891.145	-17.256
3999.270	-16.664
4120.055	-16.903
4232.099	-17.054
4347.453	-16.790
4488.462	-16.600
4625.384	-17.022
4765.085	-17.530
4903.849	-17.817
5047.332	-18.204
5202.197	-18.585
5349.966	-18.692
5516.516	-18.069
5687.628	-18.110
5864.653	-17.969
6051.651	-17.943
6258.178	-17.523
6456.364	-17.115
6664.554	-17.291
6877.204	-17.508
7101.653	-17.679
7324.228	-18.200
7547.456	-18.441
7791.478	-17.856
8050.175	-17.764
8308.657	-17.759
8577.001	-16.929
8867.926	-17.035
9180.924	-17.274
9506.464	-17.277
9845.653	-17.664
10177.444	-17.437
10528.898	-17.339
10870.311	-18.696
11215.335	-18.883
11534.723	-18.633
11917.128	-18.443
12283.866	-18.292
12678.593	-17.909
13068.127	-17.398
13462.049	-16.964
13895.975	-16.370
14000.000	-16.165
